Unnamed: 0,create_at,text,hashtag,retweet_count,favourite_count,user,geo,id,Result
0,2023-08-28 10:14:04+00:00,"พักผ่อน แล้วไปฟังเสียงคลื่น เท้าแตะน้ำทะเล ปล่อยใจไปกับคลื่นทะเลและดวงอาทิตย์ 
#เที่ยว #เที่ยวไทย #เที่ยวไปเรื่อย #เที่ยวคนเดียว #ทะเลกระบี่  #เลิกกัน #วิตกกังวล #ซึมเศร้า #ซึมเศร้า🖤 #ซึมเศร้าที่ไม่มีใครเข้าใจ #ซึมเศร้าหลังคลอด  #อกหัก #นอนไม่หลับ
#นวดนอกสถานที่ #หมอนวดชาย https://t.co/0fz1LtzScb",,,,DeliverySpaTh,,1624368890557136897,pos
1,2023-08-28 09:04:15+00:00,"💕 สุขภาพใจเป็นเรื่องสำคัญ แอป BeDee จากเครือ BDMS พร้อมดูแลสุขภาพใจนิสิตนักศึกษา ทุกมหาวิทยาลัย ปรึกษาฟรี 1 ครั้ง กรอกโค้ด CYMUNI

📲 โหลดแอป https://t.co/ejwOD3upjy

#ซึมเศร้า #สุขภาพใจ #จิตแพทย์ #หาหมอออนไลน์ #BeDee #CareYourMind https://t.co/CFpYjICJ3y",,,,BeDeebyBDMS,,1503217108091809793,pos
2,2023-08-28 07:40:17+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,BangxrNpha20059,,1658681950415228928,neg
3,2023-08-28 07:32:18+00:00,"ในวันที่ฉันป่วย…ได้โปรดอยู่ข้างๆกันดูแลกันได้ไหม… ฉันไม่อยากอยู่ตัวคนเดียว 

#โรคซึมเศร้า #ซึมเศร้า #เหงา #โดดเดี่ยว #ร้องไห้",,,,Against2212,,1677176816350683136,pos
4,2023-08-28 06:28:47+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,dyuobvx_mnbv,,759608482773372929,neg
5,2023-08-28 05:11:53+00:00,"RT @Against2212: ฉันก็หาวิธีที่จะทำให้ตัวเองดีขึ้นเหมือนกัน…
ฉันเองก็ไม่อยากเป็นแบบนี้ 😢

#โรคซึมเศร้า #เศร้า #อกหัก #เหงา #ร้องไห้ #ซึมเศ…",,,,CNX61531295,,1381339994103554048,pos
6,2023-08-28 05:11:27+00:00,"ท้องฟ้าสดใส.. แต่ภายในใจมืดมนเหลือเกิน😞

#โรคซึมเศร้า #ซึมเศร้า #ร้องไห้ #เศร้า https://t.co/ov7EMxXYc1",,,,Against2212,,1677176816350683136,neg
7,2023-08-28 02:45:49+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,Shop15111Tplus,,1634497384691683328,neg
8,2023-08-28 02:00:31+00:00,"#โรคกลัวตัวเองดีไม่พอ หรือ อาการ Atelophobia 😔 จะมีนิสัยคาดหวังให้ทุกอย่างสมบูรณ์แบบ และถ้าผลลัพธ์ออกมาไม่ตรงกับที่คาดหวังก็จะรู้สึกล้มเหลว และมีความเสี่ยงเป็น ""ภาวะซึมเศร้า"" 
⭐ ขอบคุณข้อมูลจาก &gt;&gt; https://t.co/OcP2IaqyEv
#PROXUMER #PROMOTION #โปรโมชั่น #วิจัย #ซึมเศร้า https://t.co/JP6p1wd3G1",,,,proxumer,,856823519107317760,pos
9,2023-08-28 01:02:17+00:00,RT @am2024444: 🌊🫧 #17ปี #ลูกครึ่งอังกฤษ #สภาพจิตใจติดลบ #ซึมเศร้า  ✌🏼 https://t.co/uqYRTZyP2Z,,,,G6Two,,1603759054446555137,pos
